artifact_id,file_name,ext,bytes,modified_utc,sha256_12,category,subtype,experiment_family
cil-0226-weight-substrate-white-paper-v1-,WEIGHT_SUBSTRATE_WHITE_PAPER_v1.0_2026-03-29l.md,.md,821,2026-03-29T16:36:22.196137+00:00,9901b46854e2,doctrine,white_paper,misc
cil-0227-weight-shadow-addendum-2026-03-2,Weight-Shadow-Addendum-2026-03-28a.md,.md,2214,2026-03-29T16:36:26.961243+00:00,c59f22d6dade,control,addendum,control_layer
cil-0228-weight-shadow-addendum-2026-03-2,Weight-Shadow-Addendum-2026-03-29a.md,.md,2057,2026-03-29T16:36:26.575904+00:00,9a0b34719be9,control,addendum,control_layer
cil-0229-weight-shadow-addendum-2026-03-2,Weight-Shadow-Addendum-2026-03-29c.md,.md,986,2026-03-29T16:36:26.024174+00:00,48434d1111c6,control,addendum,control_layer
cil-0230-weight-shadow-addendum-2026-03-2,Weight-Shadow-Addendum-2026-03-29g.md,.md,741,2026-03-29T16:36:24.582300+00:00,a8b1bd552c64,control,addendum,control_layer
cil-0231-weight-shadow-addendum-2026-03-2,Weight-Shadow-Addendum-2026-03-29h.md,.md,482,2026-03-29T16:36:24.155353+00:00,7e16ca335a37,control,addendum,control_layer
cil-0232-weight-shadow-addendum-2026-03-2,Weight-Shadow-Addendum-2026-03-29i.md,.md,532,2026-03-29T16:36:23.428797+00:00,7b8e750e4620,control,addendum,control_layer
cil-0233-weight-shadow-addendum-2026-03-2,Weight-Shadow-Addendum-2026-03-29j.md,.md,541,2026-03-29T16:36:23.032784+00:00,435b918b8fbc,control,addendum,control_layer
cil-0234-weight-shadow-addendum-2026-03-2,Weight-Shadow-Addendum-2026-03-29k.md,.md,523,2026-03-29T16:36:22.712562+00:00,a157fa5cc3af,control,addendum,control_layer
cil-0235-weight-shadow-addendum-2026-03-2,Weight-Shadow-Addendum-2026-03-29l.md,.md,380,2026-03-29T16:36:22.111820+00:00,724a38bb5c02,control,addendum,control_layer
cil-0236-weight-shadow-maintenance-note-2,Weight-Shadow-Maintenance-Note-2026-03-28a.md,.md,2325,2026-03-29T16:36:27.048916+00:00,40afa53e266e,document,markdown,control_layer
cil-0237-weight-shadow-maintenance-note-2,Weight-Shadow-Maintenance-Note-2026-03-29a.md,.md,1797,2026-03-29T16:36:26.789907+00:00,9dfa4e3f2470,document,markdown,control_layer
cil-0238-weight-shadow-maintenance-note-2,Weight-Shadow-Maintenance-Note-2026-03-29c.md,.md,794,2026-03-29T16:36:25.995749+00:00,dca2b8465e9f,document,markdown,control_layer
cil-0239-weight-shadow-research-crosswalk,Weight-Shadow-Research-Crosswalk-2026-03-28a.md,.md,6420,2026-03-29T16:36:26.902950+00:00,d52a754d77c7,document,markdown,misc
cil-0240-weight-shadow-research-crosswalk,Weight-Shadow-Research-Crosswalk-2026-03-29a.md,.md,5064,2026-03-29T16:36:26.496414+00:00,e91f527f538e,document,markdown,misc
cil-0241-weight-shadow-research-crosswalk,Weight-Shadow-Research-Crosswalk-2026-03-29b.md,.md,2327,2026-03-29T16:36:26.196151+00:00,7fedaf9ec284,document,markdown,misc
cil-0242-weight-shadow-trace-matrix-2026-,Weight-Shadow-Trace-Matrix-2026-03-28a.md,.md,6054,2026-03-29T16:36:26.858408+00:00,1bb99fad9145,document,markdown,misc
cil-0243-weight-shadow-trace-matrix-2026-,Weight-Shadow-Trace-Matrix-2026-03-29a.md,.md,7114,2026-03-29T16:36:26.490544+00:00,1de7b88ff75b,document,markdown,misc
cil-0244-weight-shadow-trace-matrix-2026-,Weight-Shadow-Trace-Matrix-2026-03-29b.md,.md,7156,2026-03-29T16:36:26.225299+00:00,bb23a9dff43b,document,markdown,misc
cil-0245-weight-shadow-trace-matrix-2026-,Weight-Shadow-Trace-Matrix-2026-03-29c.md,.md,1831,2026-03-29T16:36:25.903379+00:00,e7b7ca7cc025,document,markdown,misc
cil-0246-weight-shadow-trace-matrix-2026-,Weight-Shadow-Trace-Matrix-2026-03-29g.md,.md,830,2026-03-29T16:36:24.582413+00:00,7762037b1b3b,document,markdown,misc
cil-0247-weight-shadow-trace-matrix-2026-,Weight-Shadow-Trace-Matrix-2026-03-29h.md,.md,901,2026-03-29T16:36:24.108944+00:00,44c4fc9c6ff7,document,markdown,misc
cil-0248-weight-shadow-trace-matrix-2026-,Weight-Shadow-Trace-Matrix-2026-03-29i.md,.md,1049,2026-03-29T16:36:23.499365+00:00,fc80db8c393d,document,markdown,misc
cil-0249-weight-shadow-trace-matrix-2026-,Weight-Shadow-Trace-Matrix-2026-03-29j.md,.md,1127,2026-03-29T16:36:23.192528+00:00,06f7f26c49c4,document,markdown,misc
cil-0250-weight-shadow-trace-matrix-2026-,Weight-Shadow-Trace-Matrix-2026-03-29k.md,.md,1124,2026-03-29T16:36:22.746790+00:00,8496fa80af2f,document,markdown,misc
